FRD_ID,Owner,Building_name_location,Street_Number_GPS,Street_Name_GPS,Suburb_GPS,State,Postcode,Height_Res,Total_number_of_bays,Access_Lat,Access_Long,Kerbside_Ref,Between,Open,Close,Preferred,URL,Phone,Comments,Road Direction Access,Kerb,Last updated
FRD-050,Wilson,Governor Phillip Tower,43,Phillip St,Sydney,NSW,2000,2.01,629,-33.8643822,151.2115806,PHI-02,Bridge and Bent,600,2100,,https://www.wilsonparking.com.au/park/2137_Governor-Phillip-Tower-Car-Park_43-Phillip-St-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-051,Secure,131 Macquarie Street,1,Phillip Ln,Sydney,NSW,2000,1.9,74,-33.8640165,151.2124477,PHL-01,Aurora and Philip,700,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/131-macquarie-street,02 8912 4900,,NORTH,EAST,1/09/2016
FRD-052,Secure,109 Pitt Street,109,Pitt St,Sydney,NSW,2000,1.9,112,-33.866221,151.208246,PIT-04,Hunter and King,630,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/109-pitt-street,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-053,Secure,Atrium,7,Underwood St,Sydney,NSW,2000,2,96,-33.862483,151.20861,UND-01,Pitt and Dalley,700,2000,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/atrium,02 8912 4900,,WEST,NORTH,1/09/2016
FRD-054,Secure,Hilton,259,Pitt St,Sydney,NSW,2000,1.9,429,-33.87203,151.20812,PIT-08,Market and Park,0,0,TRUE,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/hilton-sydney,02 8912 4900,Valet Parking Only,NORTH,WEST,1/09/2016
FRD-055,Secure,No 1 Martin Place,159,Pitt St,Sydney,NSW,2000,2.1,368,-33.86826,151.20831,PIT-05,Hunter and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/no-1-martin-place,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-056,Wilson,37 Pitt Street,4,Underwood St,Sydney,NSW,2000,2,74,-33.862604,151.208647,UND-01,Pitt and Dalley,700,1900,,https://www.wilsonparking.com.au/park/2225_37-Pitt-St-Car-Park_68-Underwood-Street-Sydney,02 9006 3200,,WEST,SOUTH,1/09/2016
FRD-057,Wilson,Angel Place Car Park,123,Pitt St,Sydney,NSW,2000,2.1,260,-33.866707,151.20843,PIT-04,Hunter and King,600,0,,https://www.wilsonparking.com.au/park/2189_Angel-Place-Car-Park_123-Pitt-Street-Sydney,02 9006 3200,,SOUTH,WEST,1/09/2016
FRD-058,Wilson,Citigroup Centre,271,Pitt St,Sydney,NSW,2000,2.1,275,-33.871983,151.208106,PIT-07,Market and Park,600,1900,,https://www.wilsonparking.com.au/park/2126_Citigroup-Centre-Car-Park_271-Pitt-Street-Sydney,02 9006 3200,,NORTH,WEST,1/09/2016
FRD-059,Wilson,Market City - Level B2/B3,2,Quay St,Haymarket,NSW,2000,2.2,619,-33.879596,151.202497,QUA-01,Ultimo and end,0,0,,https://www.wilsonparking.com.au/park/2109_Market-City-Car-Park_2-Quay-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-060,Wilson,Market City - Level B1,2,Quay St,Haymarket,NSW,2000,2.2,619,-33.879596,151.202497,QUA-01,Ultimo and end,100,100,,https://www.wilsonparking.com.au/park/2109_Market-City-Car-Park_2-Quay-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-061,Wilson,Gateway,25,Reiby Pl,Sydney,NSW,2000,2,195,-33.86196018,151.2094467,REI-01,Pitt and Loftus,600,1900,,https://www.wilsonparking.com.au/park/2239_Gateway-Car-Park_25-Reiby-Pl-Sydney,02 9006 3200,,NORTH/SOUTH,EAST,1/09/2016
FRD-062,Secure,King Street Wharf,1,Shelley St,Sydney,NSW,2000,2.2,154,-33.866525,151.202385,SHE-01,Sussex and Erskine,600,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/Sydney%20CBD%20Central/king-street-wharf,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-063,InterPark,Domain,1,St Marys Rd,Sydney,NSW,2000,1.9,1079,-33.871496,151.214973,STM-01,Cathedral and Riley,600,0,,http://www.domaincarpark.com.au/rates-a-times.html,02 9221 4175,,EAST/WEST,NORTH,1/09/2016
FRD-064,Secure,132 Sussex Street,132,Sussex  St,Sydney,NSW,2000,1.9,60,-33.868599,151.2035903,SUS-03,Erskine and King,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/132-sussex-street,02 8912 4900,Casual Parking Not avaliable/ Call and Book Only,NORTH/SOUTH,EAST,1/09/2016
FRD-065,Sussex Centre,401 Sussex Street,401,Sussex  St,Haymarket,NSW,2000,2.2,22,-33.878239,151.204691,SUS-09,Goulburn and Hay,830,0,,http://www.parkingmadeeasy.com.au/car-park/401-sussex-st-sydney-sussex-centre-china-town,na ---- -----,,SOUTH,WEST,1/09/2016
FRD-066,Wilson,321 Kent Street,86,Sussex  St,Sydney,NSW,2000,2.1,319,-33.8672532,151.2034223,SUS-03,Erskine and King,600,0,,https://www.wilsonparking.com.au/park/2236_321-Kent-St-Car-Park_86-Sussex-Street-Sydney,02 9006 3200,,NORTH/SOUTH,WEST,1/09/2016
FRD-067,Secure,Allianz Centre,186,Sussex  St,Sydney,NSW,2000,2,288,-33.8705074,151.2037844,SUS-04,King and Market,0,0,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/allianz-centre,02 9006 3200,,SOUTH,EAST,1/09/2016
FRD-068,Wilson,Darling Park,201,Sussex  St,Sydney,NSW,2000,2.1,834,-33.871833,151.203818,SUS-05,Market and Druitt,600,2200,TRUE,https://www.wilsonparking.com.au/park/2076_Darling-Park-Car-Park_201-Sussex-Street-Sydney,02 9006 3200,,SOUTH,WEST,1/09/2016
FRD-069,Wilson,Novatel,179,Thomas St,Haymarket,NSW,2000,2.1,589,-33.8818775,151.202624,THO-03,Ultimo and Quay,0,0,,https://www.wilsonparking.com.au/park/2108_Novotel-Sydney-Central-Citigate-Car-Park_169179-Thomas-Street-Haymarket,02 9006 3200,,SOUTH,EAST,1/09/2016
FRD-070,Wilson,187 Thomas Street,187,Thomas St,Haymarket,NSW,2000,2.1,82,-33.8813207,151.203661,THO-02,Ultimo and Quay,700,0,,https://www.wilsonparking.com.au/park/2195_187-Thomas-St-Car-Park_187-Thomas-Street-Haymarket,02 9006 3200,,NORTH,EAST,1/09/2016
FRD-071,Wilson,HSBC Centre,14,Wilmot St,Sydney,NSW,2000,2,137,-33.8751664,151.207033,WIL-01,George and Pitt,700,1900,,https://www.wilsonparking.com.au/park/2130_HSBC-Centre-Car-Park_14-Wilmot-Street-Sydney,02 9006 3200,,EAST,NORTH,1/09/2016
FRD-073,Wynyard Properties,Wynyard Lane,3,Wynyard Ln,Sydney,NSW,2000,1.95,323,-33.8661085,151.2068037,WYL-01,Margaret and Wynyard,0,0,,http://www.wynyardlanecarpark.com.au/casual.aspx,02 9290 2752,,SOUTH,WEST,1/09/2016
FRD-074,Wilson,71 York Street,71,York St,Sydney,NSW,2000,1.9,38,-33.86828,151.205696,YOR-04,Erskine and King,700,1900,,https://www.wilsonparking.com.au/park/2271_71-York-St-Car-Park_71-York-Street-Sydney-,02 8912 4900,,SOUTH,WEST,1/09/2016
FRD-075,Secure,Landmark,22,York St,Sydney,NSW,2000,1.9,29,-33.868141,151.206306,YOR-05,Erskine and King,700,2000,,http://www.secureparking.com.au/car-parks/australia/nsw/sydney/landmark,02 8912 4900,,SOUTH,EAST,1/09/2016
FRD-076,Wilson,Queen Victoria Building,111,York St,Sydney,NSW,2000,1.95,634,-33.871104,151.206304,YOR-06,Market and Druitt,600,0,,https://www.wilsonparking.com.au/park/2036_Queen-Victoria-Building-Car-Park_111-York-Street-Sydney,02 9006 3200,,SOUTH,SOUTH,1/09/2016
FRD-077,Wilson,201 Elizabeth St,190,Casltereagh St,Sydney,NSW,2000,1.9,30,-33.873586,151.2093,CAS-05,Park and Bathurst,700,1800,TRUE,https://www.wilsonparking.com.au/park/2270_201-Elizabeth-St-Car-Park_201-Elizabeth-Street-Sydney,1800 727 5464,Height restriction is 3.4m on entry level; all other levels are 1.9m high,NORTH,EAST,1/09/2016
FRD-078,Wilson,Barangaroo Reserve Car Park,2,Towns Place,Millers Point,NSW,2000,2.2,300,-33.856529,151.202301,TOW-01,Hickson and Dalgety,0,0,,https://www.wilsonparking.com.au/park/2266_Barangaroo-Reserve-Car-Park_Barangaroo-Point,1800 727 5464,,EAST/WEST,NORTH,1/09/2016
FRD-079,Wilson,44 Market St,178,Clarence St,Sydney,NSW,2000,1.9,20,-33.870599,151.205553,CLA-06,King and Market,700,1900,,https://www.wilsonparking.com.au/park/2071_44-Market-St-Car-Park_44-Market-Street-Sydney,1800 727 5464,,NORTH,EAST,1/09/2016
FRD-080,Wilson,220 George St ,2,Dalley St,Sydney,NSW,2000,2.05,,-33.863214,151.207762,DAL-01,George and Underwood,0,0,,https://www.wilsonparking.com.au/park/2224_220-George-St-Car-Park_2-Dalley-Street-Sydney,1800 727 5464,,EAST,NORTH,1/09/2016
